SpectraSmart Spectrum 2.10.0.0
--------- Device Information -----------
Spectrum Name : ,Spectrum_0
Saving Time : ,2024/06/18 18:23:30
Spectro-Module Model Name :,EE2063S-DUVN4
Spectro-Module Serial Number :,TEST-INSTRUMENT-001
Wavelength Start :,285
Wavelength End :,1100
Wavelength Unit :,Wavelength(nm)
Spectrum Unit :,Intensity(Counts)
MB Temperature(°C) :,NA
TEC Temperature(°C) :,-6.80 °C
-----------Spectrum Setting ------------
Integration Time :,8ms
Average :,50
Boxcar :,0
Background removal :, enabled
linearity correction :, enabled
SC :, disabled
Intensity correction :, disabled
DWT denoise :, enabled
savitzky-golay :, disabled
FFT :, disabled
Running average :, disabled
Kalman :, disabled
High pass :, disabled
---------------BEGIN--------------------
Wavelength(nm)      ,   Intensity(Counts)
445.83,       1020.209
446.27,        1011.17
446.72,       1015.774
447.16,       1017.861
447.61,       1015.232
448.06,        1012.32
448.50,        1008.61
448.95,       1002.733
449.39,       996.0559
449.84,       990.9918
450.28,       988.0497
450.73,       986.6954
451.18,       985.7722
451.62,       983.2775
452.07,       978.7546
452.51,       972.9423
452.96,       966.8392
453.40,       961.9556
453.85,        958.683
454.29,       956.4711
454.74,        954.561
455.19,       951.7859
455.63,       947.8191
456.08,       943.0906
456.52,       938.0738
456.97,       933.4776
457.41,       929.5675
457.86,       926.1473
458.30,       923.0511
458.75,       920.0415
459.19,       917.0321
459.64,       914.1095
460.08,       911.4125
460.53,       909.1188
460.97,       907.2374
461.42,       905.6921
461.86,       904.1909
462.31,       902.2897
462.75,       899.9413
463.20,       897.3204
463.64,       894.8492
464.09,       893.2101
464.53,       892.5297
464.98,       892.5266
465.42,       892.8275
465.86,       892.8394
466.31,       892.3408
466.75,       891.4916
467.20,       890.3135
467.64,       888.8588
468.09,       887.2226
468.53,        885.405
468.98,       883.6486
469.42,       882.3558
469.86,       881.6201
470.31,       881.3679
470.75,       881.3702
471.20,       881.2138
471.64,       880.7737
472.09,       880.1442
472.53,       879.4379
472.97,       878.8633
473.42,       878.4492
473.86,        878.055
474.31,       877.5989
474.75,       876.9798
475.19,       876.1598
475.64,       875.2177
476.08,       874.1078
476.53,        872.736
476.97,       871.1577
477.41,       869.4561
477.86,       867.8821
478.30,       866.8353
478.75,       866.3719
479.19,       866.3207
479.63,       866.4457
480.08,       866.3578
480.52,       865.9162
480.96,       865.2452
481.41,       864.3104
481.85,       863.0703
482.29,       861.6051
482.74,       859.9656
483.18,       858.4937
483.62,       857.7162
484.07,       857.7601
484.51,       858.5218
484.95,       859.5914
485.40,        860.293
485.84,       860.3488
486.28,       859.8345
486.73,       859.1896
487.17,       858.8327
487.61,       859.0365
488.06,       860.5878
488.50,       862.5708
488.94,       862.1046
489.38,       858.9624
489.83,       856.9238
490.27,       856.9061
490.71,        859.481
491.16,       872.1324
491.60,       898.6143
492.04,       919.2757
492.48,       984.0347
492.93,       920.6951
493.37,       891.7061
493.81,       868.6047
494.26,       850.7906
494.70,       843.8426
495.14,       845.8906
495.58,       853.8006
496.03,       859.9424
496.47,       861.6943
496.91,       859.3582
497.35,       854.7225
497.80,       852.2783
498.24,       852.9566
498.68,       854.3801
499.12,       855.7228
499.56,       856.5245
500.01,       856.4819
500.45,       856.0538
500.89,       855.5153
501.33,       855.0269
501.77,       854.6753
502.22,       854.3775
502.66,        853.989
503.10,       853.3017
503.54,       852.3173
503.98,       851.2084
504.43,       850.1525
504.87,       849.3983
505.31,       849.0308
505.75,       848.9513
506.19,       849.1774
506.64,       849.7318
507.08,       850.5402
507.52,       851.5612
507.96,        852.501
508.40,       852.9017
508.84,        852.684
509.29,       851.9736
509.73,       851.1311
510.17,       850.7607
510.61,       851.0157
511.05,        851.721
511.49,       852.5972
511.93,       853.1837
512.37,       853.3388
512.82,       853.2021
513.26,       852.9201
513.70,       852.7234
514.14,       852.6802
514.58,       852.6974
515.02,       852.6943
515.46,       852.5599
515.90,       852.2747
516.34,       851.9119
516.79,       851.5336
517.23,       851.2252
517.67,       851.0098
518.11,       850.8373
518.55,       850.7097
518.99,       850.6346
519.43,       850.5936
519.87,       850.5999
520.31,       850.5609
520.75,       850.3146
521.19,       849.8787
521.63,       849.3619
522.07,       848.9576
522.51,       848.9702
522.96,       849.4719
523.40,       850.3372
523.84,        851.481
524.28,       852.7644
524.72,       854.0744
525.16,       855.4087
525.60,       856.5835
526.04,       857.3184
526.48,       857.5935
526.92,       857.5106
527.36,       857.3275
527.80,       857.4857
528.24,       858.0955
528.68,       859.0031
529.12,        860.101
529.56,        861.194
530.00,       862.1866
530.44,       863.1692
530.88,       863.9823
531.32,       864.3647
